model,city,T_in,T_out,tag,horizon,MAE,RMSE,MAPE,config
gat,bj,336,48,336,h1,19.9230,32.0498,75.17,"{""model"": ""gat"", ""city"": ""bj"", ""T_in"": 336, ""T_out"": 48, ""hidden"": 32, ""heads"": 4, ""batch"": 16, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""graphs"": [""spatial""], ""save_path"": ""outputs/checkpoints/gat/best.pt"", ""log_dir"": ""outputs/logs/gat"", ""tag"": ""336""}"
gat,bj,336,48,336,h3,20.8287,34.2229,76.16,"{""model"": ""gat"", ""city"": ""bj"", ""T_in"": 336, ""T_out"": 48, ""hidden"": 32, ""heads"": 4, ""batch"": 16, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""graphs"": [""spatial""], ""save_path"": ""outputs/checkpoints/gat/best.pt"", ""log_dir"": ""outputs/logs/gat"", ""tag"": ""336""}"
gat,bj,336,48,336,h6,21.8946,36.7469,75.80,"{""model"": ""gat"", ""city"": ""bj"", ""T_in"": 336, ""T_out"": 48, ""hidden"": 32, ""heads"": 4, ""batch"": 16, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""graphs"": [""spatial""], ""save_path"": ""outputs/checkpoints/gat/best.pt"", ""log_dir"": ""outputs/logs/gat"", ""tag"": ""336""}"
gat,bj,336,48,336,h12,23.3787,39.8669,75.96,"{""model"": ""gat"", ""city"": ""bj"", ""T_in"": 336, ""T_out"": 48, ""hidden"": 32, ""heads"": 4, ""batch"": 16, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""graphs"": [""spatial""], ""save_path"": ""outputs/checkpoints/gat/best.pt"", ""log_dir"": ""outputs/logs/gat"", ""tag"": ""336""}"
gat,bj,336,48,336,avg,25.4863,43.4406,78.04,"{""model"": ""gat"", ""city"": ""bj"", ""T_in"": 336, ""T_out"": 48, ""hidden"": 32, ""heads"": 4, ""batch"": 16, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""graphs"": [""spatial""], ""save_path"": ""outputs/checkpoints/gat/best.pt"", ""log_dir"": ""outputs/logs/gat"", ""tag"": ""336""}"
lstm,bj,336,48,336,h1,13.2624,22.7894,26.50,"{""model"": ""lstm"", ""city"": ""bj"", ""T_in"": 336, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 4, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/lstm/best.pt"", ""log_dir"": ""outputs/logs/lstm"", ""tag"": ""336""}"
lstm,bj,336,48,336,h3,14.9952,26.3917,29.96,"{""model"": ""lstm"", ""city"": ""bj"", ""T_in"": 336, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 4, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/lstm/best.pt"", ""log_dir"": ""outputs/logs/lstm"", ""tag"": ""336""}"
lstm,bj,336,48,336,h6,16.4108,29.4186,33.09,"{""model"": ""lstm"", ""city"": ""bj"", ""T_in"": 336, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 4, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/lstm/best.pt"", ""log_dir"": ""outputs/logs/lstm"", ""tag"": ""336""}"
lstm,bj,336,48,336,h12,17.8449,32.6924,36.33,"{""model"": ""lstm"", ""city"": ""bj"", ""T_in"": 336, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 4, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/lstm/best.pt"", ""log_dir"": ""outputs/logs/lstm"", ""tag"": ""336""}"
lstm,bj,336,48,336,avg,20.7312,39.0988,41.01,"{""model"": ""lstm"", ""city"": ""bj"", ""T_in"": 336, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 4, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/lstm/best.pt"", ""log_dir"": ""outputs/logs/lstm"", ""tag"": ""336""}"
gru,bj,336,48,336,h1,12.7301,22.0110,25.87,"{""model"": ""gru"", ""city"": ""bj"", ""T_in"": 336, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 4, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/gru/best.pt"", ""log_dir"": ""outputs/logs/gru"", ""tag"": ""336""}"
gru,bj,336,48,336,h3,14.8388,26.2174,29.42,"{""model"": ""gru"", ""city"": ""bj"", ""T_in"": 336, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 4, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/gru/best.pt"", ""log_dir"": ""outputs/logs/gru"", ""tag"": ""336""}"
gru,bj,336,48,336,h6,16.7149,29.7140,33.96,"{""model"": ""gru"", ""city"": ""bj"", ""T_in"": 336, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 4, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/gru/best.pt"", ""log_dir"": ""outputs/logs/gru"", ""tag"": ""336""}"
gru,bj,336,48,336,h12,18.3794,32.7958,38.52,"{""model"": ""gru"", ""city"": ""bj"", ""T_in"": 336, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 4, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/gru/best.pt"", ""log_dir"": ""outputs/logs/gru"", ""tag"": ""336""}"
gru,bj,336,48,336,avg,21.2618,38.5216,44.59,"{""model"": ""gru"", ""city"": ""bj"", ""T_in"": 336, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 4, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/gru/best.pt"", ""log_dir"": ""outputs/logs/gru"", ""tag"": ""336""}"
